area_name;subarea_name;locality_name;viviendas_total;piso_tierra;sin_agua;sin_sanitario;sin_luz;cocina_lena;cocina_carbon;poblacion_total;hombres;mujeres;edad_0_14;edad_15_64;edad_65_mas;edad_18_mas;edad_10_mas;menos_tercer_grado;ocupados_total;ocupados_agro;desocupados;no_economicamente_activa;analfabeta;discapacidad;extra1;extra2;nivel;nombre;provincia;distrito
TOTAL;;;1201809;65379;60679;44465;58032;72179;31;202917;567490;923699;119679;363721;4064780;2014818;2049962;2832195;3384451;172547;1571105;210812;153535;1659416;123674;173079;provincia;TOTAL;TOTAL;
Bocas del Toro;;;34870;3334;5292;5009;5325;4223;2;15656;21497;32251;8973;17710;159228;79938;79290;87603;117314;13322;45032;16872;5424;66858;9668;5119;provincia;Bocas del Toro;Bocas del Toro;
Coclé;;;77384;4518;2910;2214;5430;8381;2;17627;36430;67914;9821;34019;268264;136127;132137;191049;227114;8497;103514;23446;9303;114294;5719;13032;provincia;Coclé;Coclé;
Colón;;;82747;1826;3628;1802;1901;2365;3;11674;39050;68470;6809;23098;281956;139873;142083;188595;230661;6814;96104;7178;14395;120162;4382;10882;provincia;Colón;Colón;
Chiriquí;;;142806;5804;10128;2617;4993;4576;3;21021;59552;121480;12158;43598;471071;235212;235859;334931;396822;24849;168857;31215;15827;212138;15981;23463;provincia;Chiriquí;Chiriquí;
Darién;;;14963;1770;2464;2251;1510;1056;1;7068;9598;14618;3362;8010;54235;28538;25697;33127;42040;5325;20913;10788;835;20291;4132;1781;provincia;Darién;Darién;
Herrera;;;41884;1372;454;375;904;1363;;5067;16301;32813;4009;14558;122071;60914;61157;93798;106646;5951;51631;8657;3186;51829;4514;7403;provincia;Herrera;Herrera;
Los Santos;;;36653;760;204;328;655;716;;5430;16463;31069;3391;14757;98466;49499;48967;77807;87243;5137;43852;8255;2445;40895;3655;6653;provincia;Los Santos;Los Santos;
Panamá;;;448402;6246;3014;4428;2137;2296;11;34308;202192;290686;19110;88692;1439575;704358;735217;1056558;1231989;30179;606076;12454;62333;563257;17657;60457;provincia;Panamá;Panamá;
Panamá Oeste (38);;;199081;6084;2483;2723;2323;2764;6;20514;92712;153686;9245;43873;653665;322729;330936;462475;547869;13393;264695;13252;31110;252047;8587;28355;provincia;Panamá Oeste (38);Panamá Oeste (38);
Veraguas;;;77083;7828;5059;2739;9722;12869;;22764;37327;65233;14492;34570;259791;133287;126504;183177;218177;18587;97515;28365;7135;113527;15131;11430;provincia;Veraguas;Veraguas;
Comarca Kuna Yala;;;5224;3516;1215;4681;1230;2794;;4277;3899;5154;1702;3067;32016;15308;16708;17724;23629;5157;11300;4820;100;12229;4690;491;provincia;Comarca Kuna Yala;Comarca Kuna Yala;
Comarca Emberá;;;2471;32;1363;374;370;110;;1857;2154;2471;1335;2162;12358;6528;5830;6595;8967;1446;4744;2987;51;4172;1242;300;provincia;Comarca Emberá;Comarca Emberá;
Comarca Ngäbe Buglé (23);;;38241;22289;22465;14924;21532;28666;3;35654;30315;37854;25272;35607;212084;102507;109577;98756;145980;33890;56872;42523;1391;87717;28316;3713;provincia;Comarca Ngäbe Buglé (23);Comarca Ngäbe Buglé (23);
